ow_temp,ow_humidity,ow_pressure,ow_wind_speed,ow_wind_deg,ow_clouds,ow_pm10,ow_pm2_5,ow_co,ow_no2,ow_so2,ow_o3,aqi_aqicn,city,hour,day,month,weekday,timestamp_utc,temp,humidity,pressure,wind_speed,aqi,pm2_5,pm10,no2,so2,co
27.4,77,1004.5,6.1,34,40,73.6,41.9,388.0,50.1,18.5,14.0,85,Karachi,0.0,6.0,5.0,1.0,2025-05-06 00:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.3,95,1004.9,6.0,95,1,75.4,42.7,614.0,48.2,21.9,25.0,87,Karachi,1.0,6.0,5.0,1.0,2025-05-06 01:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.8,84,1005.1,6.7,121,4,77.5,46.6,931.0,45.2,26.5,41.0,90,Karachi,2.0,6.0,5.0,1.0,2025-05-06 02:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
29.1,76,1005.6,6.1,157,2,104.8,46.3,1100.0,40.1,30.5,64.0,92,Karachi,3.0,6.0,5.0,1.0,2025-05-06 03:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
30.2,67,1006.1,7.2,174,5,122.9,43.3,976.0,31.0,33.3,98.0,95,Karachi,4.0,6.0,5.0,1.0,2025-05-06 04:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.3,59,1006.3,8.5,184,40,129.0,43.1,703.0,19.8,35.3,138.0,97,Karachi,5.0,6.0,5.0,1.0,2025-05-06 05:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.0,54,1006.6,10.3,191,1,135.0,45.3,482.0,11.2,36.0,169.0,99,Karachi,6.0,6.0,5.0,1.0,2025-05-06 06:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.4,54,1006.0,12.1,198,40,129.9,44.6,386.0,7.0,34.5,185.0,101,Karachi,7.0,6.0,5.0,1.0,2025-05-06 07:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.6,56,1005.0,13.0,202,5,121.1,42.5,340.0,5.4,31.6,190.0,104,Karachi,8.0,6.0,5.0,1.0,2025-05-06 08:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.8,54,1004.0,13.0,200,27,116.6,40.5,322.0,5.1,28.8,186.0,105,Karachi,9.0,6.0,5.0,1.0,2025-05-06 09:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.4,57,1003.1,13.0,198,13,120.1,38.0,338.0,6.1,26.7,168.0,107,Karachi,10.0,6.0,5.0,1.0,2025-05-06 10:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.5,64,1002.5,12.3,198,23,120.6,35.6,381.0,8.5,24.6,140.0,121,Karachi,11.0,6.0,5.0,1.0,2025-05-06 11:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
30.7,68,1002.2,10.9,200,12,129.5,36.8,408.0,12.7,20.5,110.0,138,Karachi,12.0,6.0,5.0,1.0,2025-05-06 12:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.2,66,1002.0,8.3,214,24,127.1,34.5,397.0,17.7,18.9,90.0,140,Karachi,13.0,6.0,5.0,1.0,2025-05-06 13:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
29.6,81,1002.7,11.1,224,3,111.8,31.5,369.0,24.4,16.6,62.0,130,Karachi,14.0,6.0,5.0,1.0,2025-05-06 14:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.8,85,1003.4,9.2,244,3,92.9,28.4,342.0,28.6,14.6,42.0,107,Karachi,15.0,6.0,5.0,1.0,2025-05-06 15:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.7,86,1003.8,10.2,211,9,70.5,24.7,321.0,27.9,13.1,36.0,106,Karachi,16.0,6.0,5.0,1.0,2025-05-06 16:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.5,86,1003.9,10.5,218,1,54.8,21.4,301.0,24.6,11.9,38.0,105,Karachi,17.0,6.0,5.0,1.0,2025-05-06 17:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.5,86,1004.4,9.6,227,10,40.2,18.7,287.0,21.5,10.9,40.0,103,Karachi,18.0,6.0,5.0,1.0,2025-05-06 18:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.3,87,1004.4,8.2,256,25,32.2,16.9,282.0,19.1,9.8,40.0,101,Karachi,19.0,6.0,5.0,1.0,2025-05-06 19:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.0,88,1003.9,7.0,267,28,28.5,15.5,283.0,16.8,9.0,40.0,100,Karachi,20.0,6.0,5.0,1.0,2025-05-06 20:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.8,88,1003.6,4.1,283,24,27.0,15.3,291.0,15.6,9.0,40.0,98,Karachi,21.0,6.0,5.0,1.0,2025-05-06 21:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.7,88,1003.6,1.9,299,25,27.0,15.9,301.0,16.6,10.1,37.0,97,Karachi,22.0,6.0,5.0,1.0,2025-05-06 22:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.6,88,1003.7,2.4,312,29,29.3,17.2,318.0,18.7,12.1,34.0,95,Karachi,23.0,6.0,5.0,1.0,2025-05-06 23:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.4,89,1004.0,3.4,313,15,23.1,16.6,359.0,22.5,13.9,25.0,94,Karachi,0.0,7.0,5.0,2.0,2025-05-07 00:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.3,92,1004.0,2.2,24,40,27.0,17.8,447.0,21.1,18.0,29.0,92,Karachi,1.0,7.0,5.0,2.0,2025-05-07 01:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.8,88,1004.2,1.9,49,40,38.1,19.4,560.0,19.0,23.9,36.0,90,Karachi,2.0,7.0,5.0,2.0,2025-05-07 02:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
29.2,77,1004.9,0.7,194,40,54.8,20.1,647.0,16.7,29.4,51.0,87,Karachi,3.0,7.0,5.0,2.0,2025-05-07 03:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
30.7,68,1005.0,2.5,180,40,78.2,23.1,700.0,14.2,34.7,79.0,85,Karachi,4.0,7.0,5.0,2.0,2025-05-07 04:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.4,60,1004.8,4.8,169,40,99.4,29.3,727.0,11.4,39.6,114.0,83,Karachi,5.0,7.0,5.0,2.0,2025-05-07 05:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
33.3,59,1004.3,9.2,180,40,116.4,37.5,701.0,9.1,42.1,143.0,82,Karachi,6.0,7.0,5.0,2.0,2025-05-07 06:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
33.5,55,1004.0,12.4,194,40,117.6,41.3,579.0,7.1,40.7,164.0,81,Karachi,7.0,7.0,5.0,2.0,2025-05-07 07:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
33.5,51,1003.4,12.9,207,58,101.3,38.1,405.0,5.6,36.8,178.0,81,Karachi,8.0,7.0,5.0,2.0,2025-05-07 08:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.2,63,1002.8,14.8,211,14,81.7,33.6,282.0,5.1,32.3,178.0,81,Karachi,9.0,7.0,5.0,2.0,2025-05-07 09:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.2,61,1002.0,14.9,214,11,67.3,27.3,264.0,6.2,27.1,154.0,80,Karachi,10.0,7.0,5.0,2.0,2025-05-07 10:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.5,66,1001.6,14.8,222,10,61.9,23.2,298.0,8.3,21.2,115.0,92,Karachi,11.0,7.0,5.0,2.0,2025-05-07 11:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
30.9,71,1001.5,14.3,228,12,50.6,18.8,325.0,10.2,17.9,87.0,106,Karachi,12.0,7.0,5.0,2.0,2025-05-07 12:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
30.2,70,1001.6,12.1,238,14,46.0,16.6,325.0,13.0,16.1,73.0,108,Karachi,13.0,7.0,5.0,2.0,2025-05-07 13:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
29.3,77,1002.0,10.8,240,3,40.7,15.4,317.0,16.9,13.7,53.0,99,Karachi,14.0,7.0,5.0,2.0,2025-05-07 14:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.8,80,1002.5,7.7,240,40,37.4,15.4,306.0,20.7,12.1,38.0,80,Karachi,15.0,7.0,5.0,2.0,2025-05-07 15:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.5,83,1003.4,7.2,251,3,36.1,15.8,290.0,24.0,12.3,31.0,72,Karachi,16.0,7.0,5.0,2.0,2025-05-07 16:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.3,84,1003.7,7.6,258,6,35.7,16.5,271.0,27.2,13.4,28.0,71,Karachi,17.0,7.0,5.0,2.0,2025-05-07 17:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.1,85,1003.8,6.9,261,3,34.9,18.7,253.0,30.3,14.1,25.0,71,Karachi,18.0,7.0,5.0,2.0,2025-05-07 18:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.9,87,1003.5,6.4,243,18,36.7,21.8,235.0,33.9,14.0,20.0,71,Karachi,19.0,7.0,5.0,2.0,2025-05-07 19:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.7,88,1002.7,6.2,218,27,38.0,23.7,219.0,37.4,13.6,16.0,71,Karachi,20.0,7.0,5.0,2.0,2025-05-07 20:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.6,88,1002.7,4.7,254,25,37.0,22.8,211.0,38.5,13.1,14.0,72,Karachi,21.0,7.0,5.0,2.0,2025-05-07 21:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.4,90,1002.7,3.1,273,20,35.0,21.0,210.0,35.7,12.2,15.0,73,Karachi,22.0,7.0,5.0,2.0,2025-05-07 22:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.3,90,1002.6,4.0,216,22,34.3,19.4,218.0,30.5,11.3,18.0,73,Karachi,23.0,7.0,5.0,2.0,2025-05-07 23:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.2,92,1003.2,4.7,227,21,41.9,24.1,244.0,38.3,14.4,12.0,74,Karachi,0.0,8.0,5.0,3.0,2025-05-08 00:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.2,91,1003.8,3.7,281,39,39.6,23.2,311.0,31.4,16.0,21.0,74,Karachi,1.0,8.0,5.0,3.0,2025-05-08 01:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.7,88,1004.6,3.6,290,15,42.8,21.5,397.0,21.7,18.3,33.0,75,Karachi,2.0,8.0,5.0,3.0,2025-05-08 02:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.8,80,1005.1,2.4,257,10,47.0,19.3,445.0,13.8,20.1,47.0,75,Karachi,3.0,8.0,5.0,3.0,2025-05-08 03:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
30.2,70,1005.6,4.5,217,7,50.3,19.5,419.0,9.4,21.1,64.0,75,Karachi,4.0,8.0,5.0,3.0,2025-05-08 04:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.3,64,1005.9,8.3,198,7,51.3,20.8,356.0,6.7,21.6,83.0,74,Karachi,5.0,8.0,5.0,3.0,2025-05-08 05:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.6,64,1005.9,11.9,190,4,52.7,22.4,304.0,4.9,21.4,97.0,74,Karachi,6.0,8.0,5.0,3.0,2025-05-08 06:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.8,61,1005.6,12.1,192,1,52.7,22.5,279.0,3.6,20.1,104.0,72,Karachi,7.0,8.0,5.0,3.0,2025-05-08 07:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.0,60,1005.0,12.0,193,40,53.6,22.0,266.0,3.2,18.1,105.0,71,Karachi,8.0,8.0,5.0,3.0,2025-05-08 08:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.2,60,1004.4,11.7,198,40,52.2,21.3,269.0,3.4,16.8,104.0,69,Karachi,9.0,8.0,5.0,3.0,2025-05-08 09:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.2,60,1004.3,8.6,178,1,53.0,21.2,300.0,4.1,16.9,99.0,68,Karachi,10.0,8.0,5.0,3.0,2025-05-08 10:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.8,63,1003.7,10.0,194,2,53.0,21.1,347.0,5.5,17.6,92.0,68,Karachi,11.0,8.0,5.0,3.0,2025-05-08 11:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.2,66,1003.8,8.2,195,1,48.7,19.6,382.0,7.4,18.6,85.0,67,Karachi,12.0,8.0,5.0,3.0,2025-05-08 12:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
30.6,69,1003.0,11.1,203,1,50.9,19.6,396.0,11.1,18.8,72.0,68,Karachi,13.0,8.0,5.0,3.0,2025-05-08 13:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
29.8,74,1003.8,7.3,197,40,50.4,19.3,398.0,16.2,19.0,55.0,68,Karachi,14.0,8.0,5.0,3.0,2025-05-08 14:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
29.7,75,1004.8,6.0,224,40,50.9,19.7,387.0,20.7,18.9,41.0,68,Karachi,15.0,8.0,5.0,3.0,2025-05-08 15:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
29.4,77,1005.6,6.8,235,40,50.6,20.8,353.0,24.0,18.2,34.0,69,Karachi,16.0,8.0,5.0,3.0,2025-05-08 16:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
29.2,79,1006.2,7.3,224,3,52.5,22.0,306.0,26.6,17.1,31.0,69,Karachi,17.0,8.0,5.0,3.0,2025-05-08 17:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
29.0,80,1006.2,8.0,245,8,54.0,23.2,273.0,27.9,15.8,29.0,69,Karachi,18.0,8.0,5.0,3.0,2025-05-08 18:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.7,82,1005.7,9.5,245,7,56.1,24.0,264.0,27.2,14.2,29.0,70,Karachi,19.0,8.0,5.0,3.0,2025-05-08 19:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.4,84,1005.1,8.0,260,13,58.0,24.5,268.0,25.1,12.4,30.0,70,Karachi,20.0,8.0,5.0,3.0,2025-05-08 20:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.1,85,1004.5,8.1,253,26,59.0,25.1,280.0,23.3,11.1,31.0,70,Karachi,21.0,8.0,5.0,3.0,2025-05-08 21:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.9,86,1004.6,5.8,277,24,59.8,25.5,296.0,22.6,10.3,29.0,70,Karachi,22.0,8.0,5.0,3.0,2025-05-08 22:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.6,88,1004.7,5.8,270,8,61.7,25.7,320.0,22.2,10.0,28.0,71,Karachi,23.0,8.0,5.0,3.0,2025-05-08 23:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.4,90,1005.2,5.1,278,17,66.1,30.2,354.0,30.4,15.6,18.0,71,Karachi,0.0,9.0,5.0,4.0,2025-05-09 00:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.3,82,1006.2,3.4,342,25,59.5,31.5,414.0,27.8,19.5,24.0,72,Karachi,1.0,9.0,5.0,4.0,2025-05-09 01:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
27.7,78,1007.3,3.3,41,37,63.3,31.4,484.0,24.0,24.8,34.0,73,Karachi,2.0,9.0,5.0,4.0,2025-05-09 02:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
28.6,73,1008.0,2.4,99,7,87.8,31.7,520.0,19.8,28.2,47.0,73,Karachi,3.0,9.0,5.0,4.0,2025-05-09 03:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
30.1,65,1008.3,3.7,169,6,91.5,30.4,493.0,14.9,28.1,67.0,75,Karachi,4.0,9.0,5.0,4.0,2025-05-09 04:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.3,59,1008.3,7.3,187,1,90.8,31.3,431.0,9.6,26.1,90.0,75,Karachi,5.0,9.0,5.0,4.0,2025-05-09 05:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.9,57,1008.3,10.3,187,40,92.0,33.5,374.0,5.6,23.9,108.0,76,Karachi,6.0,9.0,5.0,4.0,2025-05-09 06:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.4,54,1007.9,10.9,189,40,89.6,33.9,330.0,3.7,21.7,116.0,77,Karachi,7.0,9.0,5.0,4.0,2025-05-09 07:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.4,58,1007.3,12.3,198,40,85.9,33.1,291.0,3.2,19.4,119.0,78,Karachi,8.0,9.0,5.0,4.0,2025-05-09 08:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.3,60,1006.4,13.0,213,40,81.0,31.4,269.0,3.4,17.7,117.0,79,Karachi,9.0,9.0,5.0,4.0,2025-05-09 09:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.9,61,1005.7,13.6,220,40,76.4,29.5,274.0,4.1,17.3,110.0,80,Karachi,10.0,9.0,5.0,4.0,2025-05-09 10:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.5,65,1006.2,10.0,234,4,74.5,28.4,295.0,5.6,17.5,98.0,81,Karachi,11.0,9.0,5.0,4.0,2025-05-09 11:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
32.1,61,1006.2,9.1,212,14,80.8,30.6,315.0,7.7,19.6,105.0,82,Karachi,12.0,9.0,5.0,4.0,2025-05-09 12:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
31.3,64,1005.8,11.9,210,5,69.4,27.0,330.0,11.2,18.2,88.0,83,Karachi,13.0,9.0,5.0,4.0,2025-05-09 13:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
30.2,71,1006.0,10.2,226,3,59.6,24.3,342.0,16.1,16.3,64.0,83,Karachi,14.0,9.0,5.0,4.0,2025-05-09 14:00:00+00:00,21.07,60.0,1010.0,1.54,4.0,51.23,122.65,0.06,0.2,142.01
